last_checked,state,region,tracker_status,opportunity_types,current_signal,posted_or_open,close_or_next_date,solutionz_fit,primary_official_source,all_sources,change_in_this_refresh
2026-05-15,South Dakota,Northeast,active,RFP; Grant,"South Dakota continues second-round public RFP activity focused on digital health modernization, coordinated delivery methods, and project management.",Second-round RFPs announced Mar. 3,Posting specific,"Digital modernization, coordinated care, dashboards, HIT, and maternal hub support.",https://www.bidnetdirect.com/south-dakota/solicitations/open-bids,Narrative: https://www.documentcloud.org/documents/26778979-south-dakota-complete/ | Procurement: https://www.bidnetdirect.com/south-dakota/solicitations/open-bids | State RHTP: https://doh.sd.gov/healthcare-professionals/rural-health/rural-health-transformation-project/,No material change identified from v10; state remains in current tracker status and should be monitored on official state/procurement pages.
2026-05-15,Tennessee,Southeast,active,Grant; Announcement; Application,"Tennessee released its first RHTP competitive grant opportunity on May 15 for Perinatal and Pediatric Behavioral Health Teleconsultation and Education, due June 15. Additional grant releases are scheduled weekly through July 10, including HART, Maternal Child Health, Chronic Disease Prevention, HRP service line/co-location, MCAN, Health Tech Innovation, MaRTHA, and County Health Council CARE Grants.",First RHTP grant opportunity released May 15,Due Jun. 15; next releases May 22–Jul. 10,"Immediate fit for rural teleconsultation, telehealth-enabled behavioral health education, care-team training, digital workflow, cybersecurity, collaboration/AV, and Health Tech Innovation tracking.",https://www.tn.gov/health/news/2026/5/15/tennessee-to-release-1st-grant-funding-opportunity-of-rural-health-transformation-program.html,Tennessee first RHTP funding opportunity: https://www.tn.gov/health/news/2026/5/15/tennessee-to-release-1st-grant-funding-opportunity-of-rural-health-transformation-program.html; Tennessee RHTP page: https://www.tn.gov/health/rural,Material change: TDH released the first RHTP funding opportunity on May 15 and posted a schedule of upcoming 2026 competitive grant opportunities.
2026-05-15,Texas,Southeast,active,NOFO; Grant,"Texas has multiple Rural Texas Strong opportunities active or newly announced, including prevention/wellness, workforce, and infrastructure/capital investments.",Multiple Rural Texas Strong NOFOs,May 27; May 28; Jun. 1,"Strong fit for rural facility infrastructure, workforce training, telehealth, cybersecurity, and care access projects.",https://www.hhs.texas.gov/services/health/rural-health-transformation-program,Texas RHTP page: https://www.hhs.texas.gov/services/health/rural-health-transformation-program | Texas prevention/wellness news: https://www.hhs.texas.gov/news/2026/05/hhsc-announces-56-million-rural-texas-strong-prevention-wellness-initiative,Confirmed multiple late-May/June Rural Texas Strong and Rural Hospital Innovation lanes.
2026-05-15,Utah,West,forecasted,RFP; Grant,"Utah’s RHTP page continues to show funding opportunities moving through the May release window, with several anticipated late-May openings.",Funding release window,Estimated May 26–May 30 openings,"Monitor behavioral health/primary care, GME, workforce, and value-based-care opportunities; prepare rural telehealth and collaboration use cases.",https://dhhs.utah.gov/ruralhealth/,Utah rural health page: https://dhhs.utah.gov/ruralhealth/ | Utah RHTP informational webinar: https://dhhs.utah.gov/wp-content/uploads/2026.02.12-RHTP-Informational-Webinar.pdf,No material change identified from v10; state remains in current tracker status and should be monitored on official state/procurement pages.
2026-05-15,Vermont,Northeast,recently closed,Grant; NOA,"Vermont’s official business registry shows the Rural Health Transformation Fund Mobile Units Notice of Application closed April 24. No new active Vermont RHTP application window was verified in this refresh, but this recent posting confirms rapid implementation through mobile medical, behavioral health, SUD, and dental models.",Mobile Units notice recently closed,Closed Apr. 24,"Mobile clinics, oral health, behavioral health, SUD support, telehealth, rural outreach, and mobile care equipment.",https://www.vermontbusinessregistry.com/default.aspx,Narrative: https://www.documentcloud.org/documents/26382693-vermont-narrative-1/ | Procurement: https://www.vermontbusinessregistry.com/default.aspx | State RHTP: https://healthcarereform.vermont.gov/hr1rural-health-transformation-fund | Mobile Units NOA: https://www.vermontbusinessregistry.com/BidPreview.aspx?BidID=73548,No material change identified from v10; state remains in current tracker status and should be monitored on official state/procurement pages.
2026-05-15,Virginia,Mid-Atlantic,forecasted,RFP; Grant,No new verified public package was posted in this refresh. Baseline plan still signals competitive infrastructure start-up grants and provider-education partnerships.,State page active,TBD by state,"Telehealth engagement, RPM, paramedicine, wearables, and interoperability support.",https://www.bidnetdirect.com/virginia,Narrative: https://www.documentcloud.org/documents/26379760-virginia-complete/ | Procurement: https://www.bidnetdirect.com/virginia | State RHTP: https://www.dmas.virginia.gov/data-reporting/programs-services/rural-health-transformation/,No material change identified from v10; state remains in current tracker status and should be monitored on official state/procurement pages.
2026-05-15,Washington,West,active,RFI; Procurement,Washington’s Mobile Van RFI remains active and closes May 31.,Mobile Van RFI active,"Due May 31, 2026","Good fit for mobile telehealth, care delivery technology, connectivity, and vehicle-based clinical workflows.",https://doh.wa.gov/public-health-provider-resources/healthcare-professions-and-facilities/rural-health/rural-health-transformation-program,Washington RHTP page: https://doh.wa.gov/public-health-provider-resources/healthcare-professions-and-facilities/rural-health/rural-health-transformation-program,Confirmed Mobile Van RFI remains active through May 31.
2026-05-15,West Virginia,Mid-Atlantic,active,RFA; Grant,West Virginia’s first RHTP tranche is active with $28.56M in available funding and posted applicant guidance.,First funding tranche posted Apr. 28,See WV OASIS / program guidance,"Immediate rural access and provider transformation signal; prioritize cyber, telehealth, AV-enabled care, and project-readiness needs.",https://dhhr.wv.gov/rural-health-transformation/Pages/default.aspx,West Virginia RHTP page: https://dhhr.wv.gov/rural-health-transformation/Pages/default.aspx | WV OASIS procurement portal: https://prd311.wvoasis.gov/PRDVSS2X1/Advantage4,No material change identified from v10; state remains in current tracker status and should be monitored on official state/procurement pages.
2026-05-15,Wisconsin,Northeast,forecasted,Grant; GFO; Vendor registration,"Wisconsin remains forecasted, but DHS materials emphasize an advisory council and rural innovation grants; vendor teams should stay registered with Wisconsin procurement channels while grant details mature.",State page and prep guidance active,Grant details TBD,"Mobile clinics, tele-dentistry, AI/RPM procurement, simulation, interoperability, advisory monitoring, and integrated digital infrastructure.",https://www.dhs.wisconsin.gov/business/solicitations-list.htm,Narrative: https://www.documentcloud.org/documents/26473834-wisconsin-complete/ | Procurement: https://www.dhs.wisconsin.gov/business/solicitations-list.htm | State RHTP: https://www.dhs.wisconsin.gov/business/rhtp.htm,No material change identified from v10; state remains in current tracker status and should be monitored on official state/procurement pages.
2026-05-15,Wyoming,West,forecasted,RFA; RFP,"Wyoming’s RHTP timeline now indicates RFAs/RFPs and applicant webinars during May–June, with awards expected June–July.",May–June RFA/RFP window,Awards expected Jun.–Jul.,"Near-term fit for rural provider infrastructure, technology, telehealth, and workforce project support.",https://health.wyo.gov/admin/rural-health-transformation-program/,Wyoming RHTP page: https://health.wyo.gov/admin/rural-health-transformation-program/,No material change identified from v10; state remains in current tracker status and should be monitored on official state/procurement pages.
